	mEIS -> Meritve -> Slovenija -> NEK (Gamma-meteo) -> Stolp -> 1/2-urni -> T 2m -> Povp. -> °C	mEIS -> Meritve -> Slovenija -> NEK (Gamma-meteo) -> Stolp -> 1/2-urni -> Rel. vl. 2m -> Povp. -> %	mEIS -> Meritve -> Slovenija -> NEK (Gamma-meteo) -> Stolp -> 1/2-urni -> Stab.atm. -> Stabilnost ->  PG	mEIS -> Meritve -> Slovenija -> NEK (Gamma-meteo) -> Stolp -> 1/2-urni -> Gl. son. sev. -> Povp. ->  W/m2	mEIS -> Meritve -> Slovenija -> NEK (Gamma-meteo) -> Stolp -> 1/2-urni -> Zr. tlak -> Povp. ->  mB	mEIS -> Meritve -> Slovenija -> NEK (Gamma-meteo) -> Stolp -> 1/2-urni -> Veter 10m -> Skal. ->  m/s
12/03/2017 09:00	3.8	77	1	292	1000.4	1.5
12/03/2017 09:30	5.1	70	1	399	1000.4	1.4
12/03/2017 10:00	7.4	60	1	389	1000.4	1.3
12/03/2017 10:30	8.3	53	1	316	1000.3	1.5
12/03/2017 11:00	9.2	48	1	491	1000.1	2.9
12/03/2017 11:30	10.3	43	2	601	1000.0	3.3
12/03/2017 12:00	9.9	42	1	533	999.8	2.7
12/03/2017 12:30	9.8	41	1	298	999.5	3.2
12/03/2017 13:00	9.1	43	1	200	999.3	3.1
12/03/2017 13:30	10.1	41	1	572	998.9	2.7
12/03/2017 14:00	10.3	39	1	346	998.7	2.5
12/03/2017 14:30	10.6	38	1	253	998.6	2.7
12/03/2017 15:00	10.8	37	1	471	998.5	2.4
12/03/2017 15:30	10.8	36	1	280	998.2	2.6
12/03/2017 16:00	10.9	35	2	309	998.1	3.2
12/03/2017 16:30	10.5	38	2	199	998.1	3.6
12/03/2017 17:00	10.2	38	1	140	998.2	2.9
12/03/2017 17:30	9.5	39	4	62	998.3	3.0
12/03/2017 18:00	8.3	46	6	8	998.6	3.0
12/03/2017 18:30	7.0	51	7	-6	999.1	1.9
12/03/2017 19:00	5.7	55	7	-6	999.6	1.2
12/03/2017 19:30	4.5	59	7	-7	999.9	1.0
12/03/2017 20:00	3.5	66	7	-6	1000.3	0.8
12/03/2017 20:30	2.6	70	7	-6	1000.6	1.0
12/03/2017 21:00	2.2	71	7	-6	1000.9	0.6
12/03/2017 21:30	1.2	77	7	-6	1001.0	0.4
12/03/2017 22:00	0.9	82	7	-6	1001.1	1.4
12/03/2017 22:30	1.2	81	7	-6	1001.3	1.0
12/03/2017 23:00	0.5	83	7	-6	1001.4	1.0
12/03/2017 23:30	0.4	83	7	-6	1001.6	1.0
13/03/2017 00:00	-0.2	87	7	-6	1001.8	0.9
13/03/2017 00:30	-0.3	86	7	-6	1002.0	1.1
13/03/2017 01:00	-0.2	85	7	-6	1002.1	1.3
13/03/2017 01:30	-0.5	88	7	-6	1002.3	0.9
13/03/2017 02:00	-1.2	90	7	-5	1002.2	0.7
