	mEIS -> Meritve -> Slovenija -> NEK (Gamma-meteo) -> Stolp -> 1/2-urni -> T 2m -> Povp. -> °C	mEIS -> Meritve -> Slovenija -> NEK (Gamma-meteo) -> Stolp -> 1/2-urni -> Rel. vl. 2m -> Povp. -> %	mEIS -> Meritve -> Slovenija -> NEK (Gamma-meteo) -> Stolp -> 1/2-urni -> Stab.atm. -> Stabilnost ->  PG	mEIS -> Meritve -> Slovenija -> NEK (Gamma-meteo) -> Stolp -> 1/2-urni -> Gl. son. sev. -> Povp. ->  W/m2	mEIS -> Meritve -> Slovenija -> NEK (Gamma-meteo) -> Stolp -> 1/2-urni -> Zr. tlak -> Povp. ->  mB	mEIS -> Meritve -> Slovenija -> NEK (Gamma-meteo) -> Stolp -> 1/2-urni -> Veter 10m -> Skal. ->  m/s
01/01/2017 00:00	-7.5	100	7	-5	1011.8	0.6
01/01/2017 00:30	-7.8	100	7	-5	1011.5	0.7
01/01/2017 01:00	-7.8	100	7	-5	1011.3	1.2
01/01/2017 01:30	-6.8	100	7	-5	1011.0	1.7
01/01/2017 02:00	-7.4	100	7	-4	1010.9	1.1
01/01/2017 02:30	-7.6	100	7	-5	1010.8	1.1
01/01/2017 03:00	-7.0	100	7	-4	1010.5	1.8
01/01/2017 03:30	-7.3	100	7	-4	1010.0	1.4
01/01/2017 04:00	-7.4	100	7	-5	1009.6	1.4
01/01/2017 04:30	-8.0	100	7	-4	1009.1	1.4
01/01/2017 05:00	-7.9	100	7	-5	1008.9	1.1
01/01/2017 05:30	-8.7	100	7	-4	1008.8	0.9
01/01/2017 06:00	-8.6	100	7	-4	1008.5	1.8
01/01/2017 06:30	-8.2	100	7	-5	1008.2	2.2
01/01/2017 07:00	-7.4	100	7	-5	1008.0	3.0
01/01/2017 07:30	-7.2	99	7	-4	1007.8	2.4
01/01/2017 08:00	-8.0	100	7	-1	1007.8	1.8
01/01/2017 08:30	-8.4	100	6	14	1007.8	0.6
01/01/2017 09:00	-8.2	100	6	25	1007.7	0.3
01/01/2017 09:30	-7.2	100	6	81	1007.7	0.5
01/01/2017 10:00	-5.3	98	1	190	1007.6	0.2
01/01/2017 10:30	-3.0	90	1	219	1007.4	0.3
01/01/2017 11:00	-2.0	83	1	240	1007.1	0.5
01/01/2017 11:30	-0.7	78	1	261	1006.6	0.7
01/01/2017 12:00	0.5	73	1	374	1006.0	0.5
01/01/2017 12:30	1.2	68	4	390	1005.6	0.9
01/01/2017 13:00	2.3	58	1	348	1005.0	0.7
01/01/2017 13:30	3.4	51	1	293	1004.5	0.6
01/01/2017 14:00	3.6	50	1	243	1004.1	1.0
01/01/2017 14:30	3.7	51	1	201	1003.7	1.2
01/01/2017 15:00	3.8	50	1	150	1003.6	1.3
01/01/2017 15:30	3.6	53	1	96	1003.5	1.2
01/01/2017 16:00	3.1	57	6	42	1003.3	1.2
01/01/2017 16:30	1.6	61	7	2	1003.1	1.1
01/01/2017 17:00	-0.7	73	7	-6	1003.0	1.1
01/01/2017 17:30	-2.1	85	7	-6	1003.0	1.4
01/01/2017 18:00	-2.7	86	7	-6	1003.0	1.6
01/01/2017 18:30	-2.8	84	7	-6	1003.0	1.1
01/01/2017 19:00	-3.3	87	7	-5	1003.1	1.0
01/01/2017 19:30	-4.2	92	7	-6	1003.1	0.5
01/01/2017 20:00	-5.2	98	7	-5	1003.1	0.4
01/01/2017 20:30	-5.2	100	7	-5	1003.2	0.9
01/01/2017 21:00	-5.4	99	7	-5	1003.2	0.9
01/01/2017 21:30	-6.2	100	7	-5	1003.1	0.7
01/01/2017 22:00	-6.3	100	7	-6	1002.8	0.9
01/01/2017 22:30	-6.0	100	7	-5	1002.6	1.0
01/01/2017 23:00	-6.7	100	7	-5	1002.7	1.0
01/01/2017 23:30	-6.7	100	7	-5	1002.6	0.9
02/01/2017 00:00	-7.4	100	7	-5	1002.4	1.0
02/01/2017 00:30	-6.9	100	7	-4	1002.1	1.3
02/01/2017 01:00	-6.7	100	7	-5	1002.0	1.0
02/01/2017 01:30	-7.3	100	7	-5	1001.9	0.8
02/01/2017 02:00	-7.8	100	7	-5	1001.7	0.3
02/01/2017 02:30	-8.4	100	7	-4	1001.8	0.3
02/01/2017 03:00	-8.3	100	7	-5	1001.6	1.2
02/01/2017 03:30	-7.0	100	7	-5	1001.4	1.5
02/01/2017 04:00	-6.6	100	7	-5	1001.1	1.0
02/01/2017 04:30	-7.0	100	7	-5	1000.9	1.2
02/01/2017 05:00	-6.0	100	7	-5	1000.7	1.9
02/01/2017 05:30	-6.4	100	7	-5	1000.6	2.4
02/01/2017 06:00	-6.4	100	7	-6	1000.5	2.4
02/01/2017 06:30	-6.1	100	7	-5	1000.3	2.0
02/01/2017 07:00	-6.3	100	7	-5	1000.3	2.1
02/01/2017 07:30	-6.1	100	7	-5	1000.3	2.5
02/01/2017 08:00	-5.6	100	7	-1	1000.4	2.4
02/01/2017 08:30	-5.3	100	7	12	1000.4	1.7
02/01/2017 09:00	-4.4	100	7	25	1000.4	1.2
02/01/2017 09:30	-3.1	100	7	177	1000.1	1.0
02/01/2017 10:00	0.3	97	6	258	1000.0	0.8
02/01/2017 10:30	2.8	81	2	244	999.8	2.2
02/01/2017 11:00	4.5	73	1	255	999.6	1.5
02/01/2017 11:30	5.4	68	2	276	999.2	3.9
02/01/2017 12:00	6.4	66	2	289	998.7	3.8
